"spp_file","num_occ","num_occ_sregion"
"Brillantaisia_madagascariensis.csv",75,38
"Brillantaisia_owariensis.csv",177,23
"Briza_maxima.csv",4239,49
"Briza_minor.csv",4082,32
"Bromus_catharticus.csv",4489,46
"Brugmansia_suaveolens.csv",644,38
"Bruguiera_gymnorhiza.csv",503,56
"Brunia_noduliflora.csv",76,52
"Brunsvigia_bosmaniae.csv",57,43
"Brunsvigia_grandiflora.csv",41,36
"Brunsvigia_orientalis.csv",102,66
"Brunsvigia_radulosa.csv",109,85
"Bryum_argenteum.csv",6808,53
"Buchnera_hispida.csv",122,41
"Buchnerodendron_lasiocalyx.csv",24,23
"Buddleja_auriculata.csv",27,23
"Buddleja_glomerata.csv",36,31
"Buddleja_indica.csv",65,47
"Buddleja_madagascariensis.csv",143,40
"Buddleja_saligna.csv",130,102
"Buddleja_salviifolia.csv",234,164
"Bulbine_abyssinica.csv",164,127
"Bulbine_favosa.csv",32,25
"Bulbine_frutescens.csv",157,97
"Bulbine_lagopus.csv",25,21
"Bulbine_latifolia.csv",79,65
"Bulbine_mesembryanthemoides.csv",60,47
"Bulbine_narcissifolia.csv",75,68
"Bulbine_praemorsa.csv",28,24
"Bulbinella_cauda-felis.csv",30,27
"Bulbinella_nutans.csv",25,21
"Bulbophyllum_baronii.csv",31,24
"Bulbophyllum_coriophorum.csv",34,27
"Bulbophyllum_longiflorum.csv",107,44
"Bulbophyllum_sandersonii.csv",78,25
"Bulbophyllum_scaberulum.csv",75,24
"Bulbostylis_abortiva.csv",142,27
"Bulbostylis_densa.csv",408,24
"Bulbostylis_hispidula.csv",893,126
"Bulbostylis_trichobasis.csv",26,24
"Bullockia_setiflora.csv",47,31
"Bupleurum_mundii.csv",24,22
"Burasaia_madagascariensis.csv",95,70
"Burchellia_bubalina.csv",117,83
"Burkea_africana.csv",815,162
"Bussea_massaiensis.csv",27,23
"Buxus_madagascarica.csv",35,27
"Byttneria_biloba.csv",28,24
"Byttneria_voulily.csv",42,36
"Cadaba_aphylla.csv",112,96
"Cadaba_termitaria.csv",28,27
"Cadaba_virgata.csv",31,21
"Caesalpinia_pulcherrima.csv",2134,33
"Caesia_contorta.csv",76,58
"Cajanus_cajan.csv",1388,66
"Cajanus_scarabaeoides.csv",282,23
"Calanthe_sylvatica.csv",153,44
"Calantica_cerasifolia.csv",66,53
"Caldesia_parnassifolia.csv",114,22
"Calicorema_capitata.csv",33,29
"Callilepis_laureola.csv",52,43
"Callistemon_lanceolatus.csv",36,25
"Calodendrum_capense.csv",143,92
"Caloncoba_welwitschii.csv",146,28
"Calophyllum_inophyllum.csv",555,47
"Calostephane_divaricata.csv",22,22
"Calotropis_gigantea.csv",1084,53
"Calotropis_procera.csv",2986,160
"Calpurnia_aurea.csv",86,43
"Calymperes_afzelii.csv",354,26
"Campnosperma_micranteium.csv",26,25
"Campnosperma_schatzii.csv",29,25
"Campuloclinium_macrocephalum.csv",443,68
"Campylopus_introflexus.csv",4708,25
"Campylopus_pilifer.csv",877,26
"Campylospermum_anceps.csv",51,42
"Campylospermum_deltoideum.csv",33,21
"Campylospermum_dependens.csv",27,21
"Canarium_madagascariense.csv",69,54
"Canarium_multiflorum.csv",52,43
"Canavalia_madagascariensis.csv",35,31
"Canavalia_rosea.csv",1300,56
"Canephora_madagascariensis.csv",27,22
"Canna_generalis.csv",706,134
"Canna_indica.csv",2096,119
"Cannabis_sativa.csv",3548,52
"Cannomois_virgata.csv",29,24
"Canthium_inerme.csv",96,75
"Canthium_oligocarpum.csv",93,40
"Capparis_fascicularis.csv",115,40
